"Full-Time Head of Sales","Company Name","Job Title","Location","Company Domain","Job LinkedIn URL","Posted On","Enrich Company","Employee Count","Founded","Follower Count","Sales Hiring Opener"
,"Nilgriva StockFlow Advisory Pvt Ltd","Head of Sales","Noida, Uttar Pradesh, India","nilgriva.com","https://www.linkedin.com/jobs/view/head-of-sales-at-nilgriva-stockflow-advisory-pvt-ltd-4374801711","2026-02-24T17:25:36.000Z","Nilgriva StockFlow Advisory Pvt Ltd",13,2018,295,
,"Hyper Recruitment Solutions","Head of Sales","Greater London, England, United Kingdom","hyperec.com","https://www.linkedin.com/jobs/view/head-of-sales-at-hyper-recruitment-solutions-4401941219","2026-04-21T10:59:43.000Z","Hyper Recruitment Solutions",31,2012,78750,
,"nexos.ai","Head Of Sales","Amsterdam, North Holland, Netherlands","nexos.ai","https://www.linkedin.com/jobs/view/head-of-sales-at-nexos-ai-4413424671","2026-04-17T12:31:17.000Z","nexos.ai",111,2024,15201,
,"Asksuite","Head of Sales","Florianópolis, Santa Catarina, Brazil","asksuite.com","https://www.linkedin.com/jobs/view/head-of-sales-at-asksuite-4409010842","2026-04-30T16:20:21.000Z","Asksuite",183,2017,17958,
,"SoupX-Sip of Health ","Head of Sales","Gurugram, Haryana, India","soupx.health","https://www.linkedin.com/jobs/view/head-of-sales-at-soupx-sip-of-health-%E2%84%A2-4398793742","2026-04-12T13:30:42.216Z","SoupX-Sip of Health TM",6,2021,2565,
,"Rhenus Logistics","Head of Sales","Củ Chi, Ho Chi Minh City, Vietnam","rhenus.group","https://www.linkedin.com/jobs/view/head-of-sales-at-rhenus-logistics-4355301817","2026-01-22T12:14:32.000Z","Rhenus Logistics",15221,1912,503419,
,"Roc Search","Head of Sales","Hampshire, England, United Kingdom","roc-search.com","https://www.linkedin.com/jobs/view/head-of-sales-at-roc-search-4403450288","2026-04-17T13:25:25.000Z","Roc Search",153,2007,209921,
,"Karbon Digital","Head of Sales","Toronto, Ontario, Canada","karbondigital.com","https://www.linkedin.com/jobs/view/head-of-sales-at-karbon-digital-4401183522","2026-03-21T04:56:06.000Z","Karbon Digital",14,2024,6503,
,"Nokia","Head of Sales","Coppell, TX","nokia.com","https://www.linkedin.com/jobs/view/head-of-sales-at-nokia-4372622794","2026-04-24T12:48:54.000Z","Nokia",101210,,1911785,
,"Portland Training","Head of Sales","Sheffield, England, United Kingdom","portlandtraining.co.uk","https://www.linkedin.com/jobs/view/head-of-sales-at-portland-training-4402288182","2026-04-15T16:05:11.000Z","Portland Training",28,2014,1570,
,"NPAworldwide","Head of Sales","Jakarta Metropolitan Area","npaworldwide.com","https://www.linkedin.com/jobs/view/head-of-sales-at-npaworldwide-4379655297","2026-03-06T23:01:34.000Z","NPAworldwide",25,1956,21947,
,"MacGregor Black","Head of Sales","Oxfordshire, England, United Kingdom","macgregorblack.com","https://www.linkedin.com/jobs/view/head-of-sales-at-macgregor-black-4402452677","2026-04-22T11:00:49.000Z","MacGregor Black",44,2017,196926,
,"Staycity Group","Head of Sales","Manchester, England, United Kingdom","staycity.com","https://www.linkedin.com/jobs/view/head-of-sales-at-staycity-group-4326022346","2025-12-06T06:35:50.000Z","Staycity Group",621,2004,34693,
,"RX Global","Head of Sales","Shenzhen, Guangdong, China","rxglobal.com","https://www.linkedin.com/jobs/view/head-of-sales-at-rx-global-4403055041","2026-04-18T13:52:28.000Z","RX Global",2837,,134376,
,"Європейський університет","Head of Sales","Kyiv City, Ukraine","e-u.edu.ua","https://www.linkedin.com/jobs/view/head-of-sales-at-%D1%94%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D1%8C%D0%BA%D0%B8%D0%B9-%D1%83%D0%BD%D1%96%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82-4408176793","2026-05-05T10:01:35.000Z","Європейський університет",73,1991,414,
,"Taurus Search","Head of Sales","New York, United States","taurussearch.com","https://www.linkedin.com/jobs/view/head-of-sales-at-taurus-search-4397046922","2026-04-29T00:22:48.000Z","Taurus Search",17,2011,74686,
,"Product Pulse","Head of Sales","Colchester, England, United Kingdom","productpulseconsulting.com","https://www.linkedin.com/jobs/view/head-of-sales-at-product-pulse-4409358696","2026-05-05T16:03:46.634Z","Product Pulse",1,,3088,
,"Beyond Insights Investment & Trading Education","Head of Sales","Petaling Jaya, Selangor, Malaysia","beyondinsights.net","https://www.linkedin.com/jobs/view/head-of-sales-at-beyond-insights-investment-trading-education-4408320419","2026-05-02T12:23:22.000Z","Beyond Insights Investment & Trading Education",29,2008,1210,
,"US Mobile","Head of Sales","New York, NY","usmobile.com","https://www.linkedin.com/jobs/view/head-of-sales-at-us-mobile-4288964708","2025-08-20T17:04:19.000Z","US Mobile",652,2014,22646,
,"Wayvia (formerly PriceSpider)","Head of Sales","Irvine, CA","wayvia.com","https://www.linkedin.com/jobs/view/head-of-sales-at-wayvia-formerly-pricespider-4365149541","2026-01-21T22:37:26.000Z","Wayvia (formerly PriceSpider)",225,2004,23779,
,"Evotym","Head of sales","Sofia, Sofia City, Bulgaria","evotym.com","https://www.linkedin.com/jobs/view/head-of-sales-at-evotym-4407628133","2026-04-30T19:22:59.000Z","Evotym",19,2023,8262,
,"Dojo","Head of Sales","Milan, Lombardy, Italy","dojo.careers","https://www.linkedin.com/jobs/view/head-of-sales-at-dojo-4392402118","2026-04-21T12:07:22.000Z","Dojo",1781,2019,74893,
,"Nokia","Head of Sales","California, United States","nokia.com","https://www.linkedin.com/jobs/view/head-of-sales-at-nokia-4372638134","2026-04-24T11:13:04.000Z","Nokia",101210,,1911785,
,"Verisk","Head of Sales","Manchester, England, United Kingdom","verisk.com","https://www.linkedin.com/jobs/view/head-of-sales-at-verisk-4386932179","2026-04-29T13:47:51.000Z","Verisk",5735,,348565,
,"Talent Hiring Experts","Head of Sales","Stansted, England, United Kingdom","talenthiringexperts.com","https://www.linkedin.com/jobs/view/head-of-sales-at-talent-hiring-experts-4403206404","2026-04-23T13:00:47.000Z","Talent Hiring Experts",3,2024,1887,
,"mpmX","Head of Sales","Baden-Württemberg, Germany","mpmx.com","https://www.linkedin.com/jobs/view/head-of-sales-at-mpmx-4413532467","2026-05-12T08:40:55.000Z","mpmX",45,,3053,
,"Axis Concept Construction Pvt Ltd","Head of Sales","Bengaluru South, Karnataka, India","axisconcept.in","https://www.linkedin.com/jobs/view/head-of-sales-at-axis-concept-construction-pvt-ltd-4411958242","2026-05-11T10:36:17.000Z","Axis Concept Construction",25,1992,445,
,"Sessions","Head of Sales","London Area, United Kingdom","sessions.co.uk","https://www.linkedin.com/jobs/view/head-of-sales-at-sessions-4404807866","2026-04-22T06:35:58.000Z","Sessions",89,2019,6877,
,"Extra Mile E-Commerce","Head of Sales","Omaha, NE","extramile.com","https://www.linkedin.com/jobs/view/head-of-sales-at-extra-mile-e-commerce-4330558111","2026-01-06T21:56:33.000Z","Extra Mile E-Commerce",13,2008,1351,
,"MacGregor Black","Head of Sales","London Area, United Kingdom","macgregorblack.com","https://www.linkedin.com/jobs/view/head-of-sales-at-macgregor-black-4399757216","2026-04-14T10:46:21.000Z","MacGregor Black",44,2017,196926,
,"Tellerex","Head of Sales","Atlanta, GA","tellerex.com","https://www.linkedin.com/jobs/view/head-of-sales-at-tellerex-4374945003","2026-02-21T14:47:23.000Z","Tellerex",20,2013,804,
,"Timeless Capital Group","Head of Sales","Dubai, Dubai, United Arab Emirates","thetimelesscapitalgroup.com","https://www.linkedin.com/jobs/view/head-of-sales-at-timeless-capital-group-4325844934","2025-12-05T07:27:57.000Z","Timeless Capital Group",2,2025,35,
,"Scout & Company","Head of Sales","Gyeonggi, South Korea","scoutncompany.com","https://www.linkedin.com/jobs/view/head-of-sales-at-scout-company-4410957356","2026-05-06T02:19:43.000Z","Scout & Company",5,2022,398,
,"Staffline Recruitment Ireland","Head of Sales","Antrim, Northern Ireland, United Kingdom","stafflinerecruit.com","https://www.linkedin.com/jobs/view/head-of-sales-at-staffline-recruitment-ireland-4412108501","2026-05-08T14:03:23.000Z","Staffline Recruitment Ireland",268,1986,56220,
,"AAnirudh Flat Promoters Pvt Ltd","Head of Sales","Chennai, Tamil Nadu, India","aanirudhflatpromoters.in","https://www.linkedin.com/jobs/view/head-of-sales-at-aanirudh-flat-promoters-pvt-ltd-4386842755","2026-03-18T10:49:10.000Z","❌ Company Not Found",,,,
,"Stettler Consulting AG","Head of Sales","Lausanne Metropolitan Area","stettlerconsulting.ch","https://www.linkedin.com/jobs/view/head-of-sales-at-stettler-consulting-ag-4407751307","2026-05-04T08:53:09.000Z","Stettler Consulting AG",22,1981,18660,
,"Syycol Limited","Head of Sales","Accra, Greater Accra Region, Ghana","syycol.com","https://www.linkedin.com/jobs/view/head-of-sales-at-syycol-limited-4410000322","2026-05-04T01:17:14.000Z","Syycol Limited",26,2013,1215,
,"CCA Recruitment Group","Head of Sales","Manchester Area, United Kingdom","ccarecruitment.com","https://www.linkedin.com/jobs/view/head-of-sales-at-cca-recruitment-group-4409400603","2026-05-01T13:41:10.000Z","CCA Recruitment Group",53,1999,8436,
,"YouAppi","Head of Sales","England, United Kingdom","youappi.com","https://www.linkedin.com/jobs/view/head-of-sales-at-youappi-4385201650","2026-05-11T06:25:54.000Z","YouAppi",79,2011,11950,
,"LedX","Head of Sales","Indore, Madhya Pradesh, India","ledx.law","https://www.linkedin.com/jobs/view/head-of-sales-at-ledx-4284758774","2025-08-18T04:33:01.000Z","LedX",39,2021,4343,
,"Dezan Shira & Associates","Head of Sales","Shenzhen, Guangdong, China","dezshira.com","https://www.linkedin.com/jobs/view/head-of-sales-at-dezan-shira-associates-4410448214","2026-05-07T03:43:35.000Z","Dezan Shira & Associates",323,1992,52991,
,"Qondor","Head of Sales","Oslo, Norway","qondor.com","https://www.linkedin.com/jobs/view/head-of-sales-at-qondor-4400759595","2026-04-14T13:58:36.000Z","Qondor",24,2014,1714,
,"Zepcruit","Head of Sales","Pune Division, Maharashtra, India","zepcruit.ai","https://www.linkedin.com/jobs/view/head-of-sales-at-zepcruit-4407802265","2026-04-28T06:33:28.000Z","Zepcruit",5,2024,9609,
,"BIT Official","Head of Sales","Hong Kong, Hong Kong SAR","bit.com","https://www.linkedin.com/jobs/view/head-of-sales-at-bit-official-4401847726","2026-04-16T06:31:40.000Z","BIT Exchange",17,2020,10956,
,"UBT","Head of Sales","Hereford, England, United Kingdom","universalbusinessteam.com","https://www.linkedin.com/jobs/view/head-of-sales-at-ubt-4406157928","2026-03-30T16:36:50.000Z","UBT",1112,,48602,
,"Quess Corp Limited","Head of Sales","Bengaluru, Karnataka, India","quesscorp.com","https://www.linkedin.com/jobs/view/head-of-sales-at-quess-corp-limited-4405303054","2026-04-24T07:07:26.000Z","Quess Corp Limited",32985,,884289,
,"Nordic Approach","Head of Sales","Oslo, Oslo, Norway","nordicapproach.no","https://www.linkedin.com/jobs/view/head-of-sales-at-nordic-approach-4409602065","2026-05-07T15:19:32.000Z","Nordic Approach",29,,7468,
,"AIDS Healthcare Foundation","Head of Sales","Chicago, IL","aidshealth.org","https://www.linkedin.com/jobs/view/head-of-sales-at-aids-healthcare-foundation-4400825766","2026-04-17T15:52:51.000Z","AIDS Healthcare Foundation",2642,1987,58065,
,"Catalyst Education","Head of Sales","Malappuram, Kerala, India","catalysthub.in","https://www.linkedin.com/jobs/view/head-of-sales-at-catalyst-education-4405001025","2026-04-23T15:03:11.000Z","Catalyst Education",189,2015,1838,
,"MIO","Head of Sales","Santo Domingo, Distrito Nacional, Dominican Republic","mio.com.do","https://www.linkedin.com/jobs/view/head-of-sales-at-mio-4379431966","2026-03-03T19:03:57.000Z","MIO",222,,4935,
,"nexos.ai","Head Of Sales","Dublin, County Dublin, Ireland","nexos.ai","https://www.linkedin.com/jobs/view/head-of-sales-at-nexos-ai-4413423708","2026-04-17T12:31:17.000Z","nexos.ai",111,2024,15201,
,"eThor Energy Solutions","Head of Sales","Oslo, Oslo, Norway","ethor.energy","https://www.linkedin.com/jobs/view/head-of-sales-at-ethor-energy-solutions-4401937648","2026-04-21T19:52:54.000Z","eThor Energy Solutions",7,2022,297,
,"The Ugly Ducklings","Head of Sales","New Delhi, Delhi, India","theuglyducklings.in","https://www.linkedin.com/jobs/view/head-of-sales-at-the-ugly-ducklings-4407621205","2026-04-30T16:49:07.000Z","The Ugly Ducklings",2,2024,113,
,"Leland","Head of Sales","Lehi, UT","joinleland.com","https://www.linkedin.com/jobs/view/head-of-sales-at-leland-4400291371","2026-04-09T20:14:50.000Z","Leland",334,2021,36459,
,"Virtual Vaults","Head of Sales","Rotterdam, South Holland, Netherlands","virtualvaults.com","https://www.linkedin.com/jobs/view/head-of-sales-at-virtual-vaults-4405335973","2026-04-17T11:08:35.000Z","Virtual Vaults",70,2014,4182,
,"ThirdŌrbit","Head of Sales","Johannesburg, Gauteng, South Africa","thirdorbit.io","https://www.linkedin.com/jobs/view/head-of-sales-at-third%C5%8Drbit-4399799862","2026-04-14T22:12:27.000Z","ThirdŌrbit",1,2025,87,
,"Joggy","Head of Sales","Boulder, CO","getjoggy.com","https://www.linkedin.com/jobs/view/head-of-sales-at-joggy-4390152723","2026-03-25T16:33:20.000Z","Joggy",6,,1367,
,"enable recruitment | B Corp","Head of Sales","Greater Bristol Area, United Kingdom","enable-recruitment.co","https://www.linkedin.com/jobs/view/head-of-sales-at-enable-recruitment-b-corp%E2%84%A2-4408868478","2026-05-06T14:27:10.000Z","enable recruitment | B CorpTM",13,2016,28880,
,"Olive Cables","Head of Sales","Delhi, India","olivecables.com","https://www.linkedin.com/jobs/view/head-of-sales-at-olive-cables-4401425738","2026-04-15T12:35:03.000Z","Olive Cables",8,1975,215,
,"Klipboard","Head of Sales","South Yorkshire, England, United Kingdom","klipboard.com","https://www.linkedin.com/jobs/view/head-of-sales-at-klipboard-4383205930","2026-04-23T15:20:36.000Z","Klipboard",1257,,41217,
,"TipTopJob","Head of Sales","Hackney, England, United Kingdom","tiptopjob.com","https://www.linkedin.com/jobs/view/head-of-sales-at-tiptopjob-4406895726","2026-04-26T00:59:47.000Z","TipTopJob",85,2000,35480,
,"NOVACARD","Head of Sales","Mexico City, Mexico","novacard.mx","https://www.linkedin.com/jobs/view/head-of-sales-at-novacard-4411268181","2026-05-06T21:13:31.000Z","NOVACARD",77,2023,2660,
,"ZENITH Watches","Head of Sales","Tokyo, Japan","zenith-watches.com","https://www.linkedin.com/jobs/view/head-of-sales-at-zenith-watches-4387380922","2026-05-03T05:02:38.000Z","ZENITH Watches",214,1865,73518,
,"Stable","Head of Sales","Denver, CO","usestable.com","https://www.linkedin.com/jobs/view/head-of-sales-at-stable-4379204380","2026-02-28T02:04:11.000Z","Stable",83,,4621,
,"Zonneplan","Head of Sales","Zwolle, Overijssel, Netherlands","zonneplan.nl","https://www.linkedin.com/jobs/view/head-of-sales-at-zonneplan-4324609930","2026-05-08T14:50:16.496Z","Zonneplan",222,2012,8974,
,"Reelu","Head of Sales","Ramat Gan, Tel Aviv District, Israel","reelu.io","https://www.linkedin.com/jobs/view/head-of-sales-at-reelu-4405271223","2026-04-22T15:23:02.000Z","Reelu",7,2025,406,
,"Sturlite India","Head of Sales","Telangana, India","sturlite.com","https://www.linkedin.com/jobs/view/head-of-sales-at-sturlite-india-4412444633","2026-05-09T07:41:18.000Z","Sturlite India",262,2009,14566,
,"Confidential","Head of Sales","Petaling, Selangor, Malaysia",,"https://www.linkedin.com/jobs/view/head-of-sales-at-confidential-4407099985","2026-04-30T02:25:54.000Z",,,,,
,"Integrity Malaysia","Head of Sales","Jakarta, Jakarta, Indonesia","integrity-malaysia.com","https://www.linkedin.com/jobs/view/head-of-sales-at-integrity-malaysia-4369049620","2026-02-04T09:51:15.000Z","Integrity Asia",59,2001,3528,
,"Talentnet Corporation","Head of Sales","Ho Chi Minh City, Ho Chi Minh City, Vietnam","talentnetgroup.com","https://www.linkedin.com/jobs/view/head-of-sales-at-talentnet-corporation-4404542955","2026-04-21T07:53:11.000Z","Talentnet Corporation",583,,68848,
,"Right Advisors Private Limited","Head of Sales","Gurugram, Haryana, India","rightadvisors.com","https://www.linkedin.com/jobs/view/head-of-sales-at-right-advisors-private-limited-4404955962","2026-04-22T05:18:07.000Z","Right Advisors Private Limited",236,2009,175494,
,"JUNA Technologies","Head of Sales","Berlin, Berlin, Germany","juna.com","https://www.linkedin.com/jobs/view/head-of-sales-at-juna-technologies-4301885087","2025-08-27T14:41:20.000Z","JUNA Technologies",24,2023,4232,
,"Marshall","Head of Sales","The Home, United Kingdom","marshallgroup.com","https://www.linkedin.com/jobs/view/head-of-sales-at-marshall-4371072647","2026-05-08T17:49:10.295Z","Marshall",1215,1909,56113,
,"TK Elevator","Head of Sales","Mieres, Principality of Asturias, Spain","tkelevator.com","https://www.linkedin.com/jobs/view/head-of-sales-at-tk-elevator-4408901490","2026-05-04T18:11:21.000Z","TK Elevator",24654,,398922,
,"PUMA Group","Head of Sales","Ho Chi Minh City, Ho Chi Minh City, Vietnam","puma.com","https://www.linkedin.com/jobs/view/head-of-sales-at-puma-group-4404344957","2026-04-20T18:45:13.000Z","PUMA Group",22339,1948,1690678,
,"R17 Group","Head of Sales","Jakarta, Jakarta, Indonesia","r17group.id","https://www.linkedin.com/jobs/view/head-of-sales-at-r17-group-4375878941","2026-02-20T21:44:11.000Z","R17 Group",62,2018,3455,
,"HSB | UK and Ireland","Head of Sales","Birkenhead, England, United Kingdom","hsbeil.com","https://www.linkedin.com/jobs/view/head-of-sales-at-hsb-uk-and-ireland-4407402746","2026-04-27T13:02:31.000Z","HSB | UK and Ireland",485,,12598,
,"Wintz Company","Head of Sales","Moscow, ID","wintzcompany.com","https://www.linkedin.com/jobs/view/head-of-sales-at-wintz-company-4403628814","2026-05-01T16:53:43.000Z","Wintz Company",11,1989,276,
,"Evotym","Head of Sales","Vilnius, Vilniaus, Lithuania","evotym.com","https://www.linkedin.com/jobs/view/head-of-sales-at-evotym-4407631086","2026-04-30T19:22:59.000Z","Evotym",19,2023,8262,
,"Comfort Temp Company","Head of Sales","Florida, United States","ctmechanical.us","https://www.linkedin.com/jobs/view/head-of-sales-at-comfort-temp-company-4402571598","2026-04-15T00:00:00.000Z","Comfort Temp Company",75,1985,1077,
